wqe,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qwee,50,-150,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
necro,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qew,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
userName,20,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phortosz,27488,1950,2,1,57,0,1,1,2,6,1,0,0,0,0,0,0,0,0,0
necromonta,33,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qwewq,26,-150,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asd,28,600,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qweqwe,7,300,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ewr,287,100,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
